demanda_id;contrato_id;fornecedor_id;fornecedor;data_abertura;data_limite;data_conclusao;categoria_demanda;prioridade;status_demanda;sla_dias;tempo_atendimento_dias;sla_cumprido;valor_estimado;unidade
D0202;C014;F001;Alpha Serviços;2026-06-29;2026-07-01;2026-07-02;Manutenção;Crítica;Concluída;2;3;Não;15818,97;Administrativo
D0203;C017;F001;Alpha Serviços;2025-01-05;2025-01-20;;Suporte;Baixa;Atrasada;15;18;Não;23046,75;Administrativo
D0204;C002;F010;Prime Soluções;2025-03-28;2025-04-02;;Análise;Alta;Cancelada;5;;Não se aplica;19700,48;Administrativo
D0205;C011;F004;Delta Segurança;2025-04-16;2025-04-18;;Solicitação;Crítica;Em andamento;2;;;22584,21;Atendimento
D0206;C016;F008;Higieniza Mais;2026-03-18;2026-03-28;;Manutenção;Média;Em andamento;10;;;13886,20;Contratos
D0207;C019;F009;InfraMax;2025-05-10;2025-05-20;;Correção;Média;Cancelada;10;;Não se aplica;23581,43;Operações
D0208;C018;F009;InfraMax;2025-09-18;2025-10-03;2025-09-24;Correção;Baixa;Concluída;15;6;Sim;13624,75;Operações
D0209;C012;F006;Forte Logística;2025-02-08;2025-02-10;;Manutenção;Crítica;Em andamento;2;;;980,48;Tecnologia
D0210;C013;F003;Central Tech;2026-05-22;2026-05-27;2026-05-25;Análise;Alta;Concluída;5;3;Sim;11873,34;Contratos
D0211;C003;F004;Delta Segurança;2026-05-01;2026-05-06;;Suporte;Alta;Cancelada;5;;Não se aplica;12057,14;Atendimento
D0212;C004;F003;Central Tech;2025-03-17;2025-04-01;2025-03-30;Análise;Baixa;Concluída;15;13;Sim;8172,29;Atendimento
D0213;C004;F003;Central Tech;2026-06-02;2026-06-04;2026-06-11;Correção;Crítica;Concluída;2;9;Não;8101,00;Atendimento
D0214;C006;F002;Beta Facilities;2025-11-29;2025-12-04;;Solicitação;Alta;Cancelada;5;;Não se aplica;12914,93;Tecnologia
D0215;C013;F003;Central Tech;2025-05-02;2025-05-17;;Suporte;Baixa;Atrasada;15;26;Não;17945,07;Contratos
D0216;C007;F008;Higieniza Mais;2025-07-09;2025-07-19;;Análise;Média;Em andamento;10;;;3076,06;Administrativo
D0217;C004;F003;Central Tech;2025-03-21;2025-03-26;2025-03-23;Solicitação;Alta;Concluída;5;2;Sim;17638,39;Atendimento
D0218;C019;F009;InfraMax;2025-08-22;2025-08-27;2025-09-08;Correção;Alta;Concluída;5;17;Não;7164,00;Operações
D0219;C011;F004;Delta Segurança;2026-02-27;2026-03-09;;Suporte;Média;Atrasada;10;20;Não;7447,87;Atendimento
D0220;C005;F004;Delta Segurança;2025-11-06;2025-11-08;;Correção;Crítica;Em andamento;2;;;9526,63;Operações
D0221;C006;F002;Beta Facilities;2025-01-28;2025-02-02;;Correção;Alta;Cancelada;5;;Não se aplica;10359,62;Tecnologia
D0222;C014;F001;Alpha Serviços;2025-02-16;2025-02-18;2025-03-07;Análise;Crítica;Concluída;2;19;Não;3350,06;Administrativo
D0223;C003;F004;Delta Segurança;2025-02-25;2025-03-07;;Entrega;Média;Cancelada;10;;Não se aplica;15185,47;Atendimento
D0224;C005;F004;Delta Segurança;2025-01-13;2025-01-28;2025-01-25;Manutenção;Baixa;Concluída;15;12;Sim;18366,84;Operações
D0225;C014;F001;Alpha Serviços;2026-05-29;2026-06-08;;Entrega;Média;Cancelada;10;;Não se aplica;23312,00;Administrativo
D0226;C001;F001;Alpha Serviços;2025-02-18;2025-02-20;;Solicitação;Crítica;Atrasada;2;13;Não;5756,06;Tecnologia
D0227;C014;F001;Alpha Serviços;2025-04-22;2025-04-24;2025-04-24;Solicitação;Crítica;Concluída;2;2;Sim;5344,91;Administrativo
D0228;C013;F003;Central Tech;2025-10-11;2025-10-26;;Correção;Baixa;Em andamento;15;;;6451,65;Contratos
D0229;C017;F001;Alpha Serviços;2025-08-31;2025-09-02;;Manutenção;Crítica;Atrasada;2;10;Não;22508,14;Administrativo
D0230;C012;F006;Forte Logística;2025-09-23;2025-10-08;2025-10-03;Correção;Baixa;Concluída;15;10;Sim;10104,20;Tecnologia
D0231;C010;F005;Eco Office;2025-04-20;2025-04-30;2025-05-02;Entrega;Média;Concluída;10;12;Não;17641,90;Tecnologia
D0232;C007;F008;Higieniza Mais;2025-10-17;2025-10-22;2025-10-24;Solicitação;Alta;Concluída;5;7;Não;21732,57;Administrativo
D0233;C011;F004;Delta Segurança;2025-11-20;2025-11-30;2025-11-26;Suporte;Média;Concluída;10;6;Sim;10858,11;Atendimento
D0234;C014;F001;Alpha Serviços;2025-12-15;2025-12-17;;Correção;Crítica;Em andamento;2;;;14533,58;Administrativo
D0235;C001;F001;Alpha Serviços;2025-10-16;2025-10-18;;Correção;Crítica;Em andamento;2;;;644,98;Tecnologia
D0236;C010;F005;Eco Office;2026-06-19;2026-06-29;;Entrega;Média;Atrasada;10;16;Não;20590,22;Tecnologia
D0237;C018;F009;InfraMax;2026-02-06;2026-02-08;2026-02-11;Correção;Crítica;Concluída;2;5;Não;21365,09;Operações
D0238;C010;F005;Eco Office;2025-12-30;2026-01-09;;Análise;Média;Em andamento;10;;;10252,29;Tecnologia
D0239;C002;F010;Prime Soluções;2025-12-27;2026-01-11;2026-01-16;Análise;Baixa;Concluída;15;20;Não;19716,49;Administrativo
D0240;C011;F004;Delta Segurança;2025-06-30;2025-07-15;;Análise;Baixa;Cancelada;15;;Não se aplica;6922,48;Atendimento
